Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won_percentage,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-200,2000,25.6,2,0,0,16,55,6,70,5,17,0,0,0,122,8,38,17.4,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-301,1996,22.1,1,0,0,38,27,14,12,4,13,0,0,0,53,61,103,37.2,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-085,1999,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-228,1997,20.2,3,0,0,15,5,2,2,22,9,0,0,0,104,51,23,68.9,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-041,1996,15.7,4,0,0,8,7,1,0,16,17,0,1,0,93,28,26,51.9,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-042,2002,1.0,1,0,0,2,0,2,2,0,2,0,0,0,8,0,1,0.0,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-338,2001,11.5,4,0,0,14,10,3,21,9,20,0,1,1,60,13,16,44.8,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-023,1998,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.7,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-295,1995,23.8,2,0,0,24,10,0,5,14,23,0,0,0,127,22,32,40.7,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-081,1995,20.1,2,0,0,12,13,1,15,19,11,0,0,0,94,35,21,62.5,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-173,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-029,1991,13.9,2,0,0,18,25,0,3,21,24,0,1,0,111,14,24,36.8,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-161,2002,8.9,2,0,0,14,13,1,3,1,4,0,0,0,43,7,23,23.3,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-215,1998,29.5,4,0,0,19,6,5,222,41,37,0,0,0,222,17,12,58.6,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-220,1992,35.0,1,0,0,1,5,0,0,0,0,0,0,0,66,11,1,91.7,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-029,1996,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-089,1994,23.9,2,0,0,19,28,9,22,8,26,0,0,0,120,5,9,35.7,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-099,2000,12.9,0,0,0,17,11,2,20,1,14,1,0,0,38,7,23,23.3,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-140,1994,17.9,1,0,0,7,3,0,0,8,8,0,1,0,108,34,26,56.7,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-344,1996,27.9,8,0,0,25,16,1,10,21,17,0,0,2,161,79,31,71.8,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-185,2002,2.5,0,0,0,4,8,1,4,5,5,0,0,0,21,9,3,75.0,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-160,1999,12.7,2,0,0,9,11,5,39,9,17,0,0,0,72,9,11,45.0,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-043,1990,19.6,2,0,0,24,44,12,34,5,7,0,1,0,42,50,87,36.5,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-075,2000,17.8,5,0,0,14,23,2,31,11,9,0,0,0,85,3,17,15.0,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-293,2001,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-072,1993,3.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-293,1996,12.8,2,0,0,9,12,0,8,8,19,0,0,0,74,29,39,42.6,328f7d51
28,Adam Armstrong,eng ENG,FWMF,Southampton,26-089,1997,14.4,2,0,0,17,9,2,14,4,9,0,0,0,52,4,19,17.4,68c720b5
