Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-200,2000,25.6,771,686,84,26,8,2,70,5,37,16,14,1,575,1,26,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-301,1996,22.1,498,490,7,0,6,7,12,4,0,0,0,0,330,1,17,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-085,1999,24.0,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-228,1997,20.2,1112,1058,47,38,2,8,2,6,0,0,0,0,903,7,9,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-041,1996,15.7,648,615,29,23,0,17,0,0,0,0,0,0,504,4,4,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-042,2002,1.0,46,45,1,0,0,0,2,0,0,0,0,0,37,0,0,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-338,2001,11.5,552,464,86,5,0,2,21,78,3,1,2,0,446,2,16,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-023,1998,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-295,1995,23.8,1904,1853,50,24,0,7,5,26,0,0,0,0,1771,1,6,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-081,1995,20.1,1756,1630,124,33,1,6,15,91,0,0,0,0,1589,2,25,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-173,1989,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-029,1991,13.9,1097,1063,31,23,8,15,3,6,0,0,0,0,946,3,22,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-161,2002,8.9,227,218,7,0,1,3,3,1,0,0,0,0,173,2,8,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-215,1998,29.5,2620,2154,456,64,22,53,222,305,87,15,64,1,1972,10,31,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-220,1992,35.0,1390,1142,244,54,0,2,0,0,0,0,0,0,1182,4,1,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-029,1996,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-089,1994,23.9,853,820,27,0,1,4,22,15,11,0,0,0,703,6,24,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-099,2000,12.9,400,380,16,1,6,2,20,3,2,2,0,0,311,4,15,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-140,1994,17.9,1114,1092,20,15,2,2,0,5,0,0,0,0,1015,2,2,1a4ef233
