Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp_percentage,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp_percentage,medium_Cmp,medium_Att,medium_Cmp_percentage,Long_Cmp,Long_Att,Long_Cmp_percentage,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-200,2000,25.6,575,771,74.6,7361,2137,333,408,81.6,146,189,77.2,25,61,41.0,3,4.2,2.6,-1.2,46,45,16,4,84,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-301,1996,22.1,330,498,66.3,4651,1042,205,278,73.7,78,118,66.1,26,37,70.3,3,2.8,2.2,+0.2,24,21,11,2,34,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-085,1999,24.0,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1.0,-1.4,24,110,13,0,136,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-228,1997,20.2,903,1112,81.2,19028,7085,221,257,86.0,563,638,88.2,109,188,58.0,0,0.4,0.4,-0.4,6,77,6,0,83,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-041,1996,15.7,504,648,77.8,10289,4500,186,203,91.6,248,289,85.8,65,143,45.5,0,0.4,0.3,-0.4,5,33,4,0,24,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-042,2002,1.0,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2,Matches,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-338,2001,11.5,446,552,80.8,6728,2269,255,287,88.9,159,195,81.5,20,32,62.5,0,1.0,0.8,-1.0,7,28,14,5,43,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-023,1998,8.5,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,0.0,1,20,3,1,31,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-295,1995,23.8,1771,1904,93.0,30233,9619,802,835,96.0,840,880,95.5,106,151,70.2,1,0.4,1.0,+0.6,7,126,3,1,103,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-081,1995,20.1,1589,1756,90.5,25489,8764,775,816,95.0,725,787,92.1,62,96,64.6,0,0.6,1.3,-0.6,8,156,9,1,139,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-173,1989,2.6,89,148,60.1,1440,551,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-029,1991,13.9,946,1097,86.2,17219,4988,433,466,92.9,346,392,88.3,136,172,79.1,0,1.1,1.3,-1.1,17,110,20,1,120,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-161,2002,8.9,173,227,76.2,2422,534,95,113,84.1,60,70,85.7,5,16,31.3,1,0.5,0.5,+0.5,3,15,5,0,22,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-215,1998,29.5,1972,2620,75.3,37214,14556,908,1018,89.2,738,941,78.4,293,570,51.4,8,10.0,8.1,-2.0,64,211,71,23,213,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-220,1992,35.0,1182,1390,85.0,27631,17776,292,294,99.3,622,631,98.6,264,456,57.9,1,0.3,0.0,+0.7,1,14,0,0,3,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-029,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-089,1994,23.9,703,853,82.4,9459,2363,440,488,90.2,199,247,80.6,26,36,72.2,1,1.8,2.3,-0.8,21,41,26,3,109,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-099,2000,12.9,311,400,77.8,4308,730,183,217,84.3,84,107,78.5,20,32,62.5,0,1.5,1.1,-1.5,14,21,11,2,34,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-140,1994,17.9,1015,1114,91.1,17506,6591,442,473,93.4,498,526,94.7,62,91,68.1,0,0.5,0.4,-0.5,5,58,1,0,66,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-344,1996,27.9,1333,1702,78.3,31401,12127,297,337,88.1,778,852,91.3,252,479,52.6,0,1.1,0.7,-1.1,10,117,7,1,86,Matches,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-185,2002,2.5,86,118,72.9,1228,380,48,58,82.8,30,37,81.1,3,6,50.0,0,0.8,1.0,-0.8,6,9,3,0,14,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-160,1999,12.7,346,470,73.6,5264,1516,197,227,86.8,102,139,73.4,28,52,53.8,1,1.0,1.1,0.0,12,23,18,7,46,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-043,1990,19.6,175,332,52.7,2512,463,106,158,67.1,54,104,51.9,11,30,36.7,3,1.3,0.8,+1.7,15,12,8,2,27,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-075,2000,17.8,568,714,79.6,7414,1744,387,435,89.0,124,167,74.3,26,45,57.8,1,2.2,2.0,-1.2,24,27,29,2,67,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-293,2001,0.5,8,12,66.7,108,44,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-072,1993,3.4,67,92,72.8,1737,1323,25,25,100.0,22,22,100.0,19,43,44.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-293,1996,12.8,268,369,72.6,3398,898,182,235,77.4,60,81,74.1,9,12,75.0,0,0.8,0.5,-0.8,9,20,9,0,39,Matches,328f7d51
28,Adam Armstrong,eng ENG,FWMF,Southampton,26-089,1997,14.4,217,296,73.3,3203,573,118,142,83.1,70,88,79.5,13,23,56.5,1,1.3,0.8,-0.3,11,12,10,2,16,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-041,1992,14.3,501,638,78.5,7650,2082,274,317,86.4,181,215,84.2,29,53,54.7,1,2.2,2.8,-1.2,16,42,31,6,73,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-219,1994,25.5,770,930,82.8,17289,10301,248,250,99.2,348,352,98.9,171,324,52.8,0,0.0,0.0,0.0,0,6,0,0,0,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-326,1989,6.2,82,111,73.9,1053,203,56,70,80.0,22,26,84.6,2,4,50.0,0,0.4,0.2,-0.4,4,2,2,1,3,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-019,1994,0.9,26,43,60.5,421,176,13,16,81.3,10,16,62.5,2,8,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-137,1992,18.6,619,871,71.1,9399,4056,347,423,82.0,220,312,70.5,36,81,44.4,0,1.0,0.8,-1.0,10,36,12,6,63,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-271,1997,12.9,128,186,68.8,1528,267,85,113,75.2,32,44,72.7,2,6,33.3,1,1.1,0.3,-0.1,9,5,2,0,11,Matches,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-216,2003,0.2,10,11,90.9,198,94,5,6,83.3,2,2,100.0,3,3,100.0,0,0.1,0.3,-0.1,2,3,1,0,2,Matches,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-144,1989,3.5,51,71,71.8,671,142,37,45,82.2,13,21,61.9,0,1,0.0,0,0.0,0.0,0.0,1,3,1,0,11,Matches,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-241,1991,27.2,604,792,76.3,7836,1549,384,437,87.9,173,227,76.2,15,40,37.5,2,2.7,2.2,-0.7,29,32,14,6,57,Matches,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-258,1991,19.8,693,994,69.7,11065,5657,384,445,86.3,235,327,71.9,56,134,41.8,1,2.0,2.2,-1.0,12,52,16,9,66,Matches,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-255,1989,14.0,730,904,80.8,10865,3702,410,444,92.3,292,359,81.3,16,65,24.6,0,1.0,1.1,-1.0,10,35,16,4,62,Matches,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-045,2001,9.1,679,762,89.1,12331,4446,260,290,89.7,362,388,93.3,51,72,70.8,0,0.5,0.2,-0.5,3,42,5,0,48,Matches,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-274,1997,19.8,318,510,62.4,5122,1242,176,226,77.9,93,146,63.7,34,71,47.9,3,3.7,4.0,-0.7,26,18,20,15,26,Matches,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-200,2004,5.8,200,258,77.5,3227,694,98,118,83.1,74,89,83.1,18,29,62.1,0,0.4,0.5,-0.4,4,17,7,1,24,Matches,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-247,1993,15.5,213,307,69.4,2261,506,154,197,78.2,33,58,56.9,2,6,33.3,2,0.9,0.6,+1.1,11,18,9,0,22,Matches,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-032,1998,6.4,238,284,83.8,4011,1083,124,139,89.2,87,98,88.8,21,32,65.6,1,1.0,0.5,0.0,9,22,8,2,39,Matches,2886c9b5
