Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-200,2000,33,28,2307,25.6,1,3,4,1,0,0,2,0,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-301,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-085,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-228,1997,22,20,1815,20.2,1,0,1,1,0,0,3,0,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-041,1996,16,15,1415,15.7,2,0,2,2,0,0,4,0,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-042,2002,7,0,93,1.0,0,0,0,0,0,0,1,0,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-338,2001,20,9,1031,11.5,1,0,1,1,0,0,4,0,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-023,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-295,1995,27,22,2141,23.8,0,1,1,0,0,0,2,0,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-081,1995,25,21,1811,20.1,1,0,1,1,0,0,2,0,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-173,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-029,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-161,2002,15,10,797,8.9,4,1,5,4,0,0,2,0,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-215,1998,34,31,2653,29.5,1,8,9,1,0,0,4,0,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-220,1992,35,35,3150,35.0,0,1,1,0,0,0,1,0,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-029,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-089,1994,30,25,2153,23.9,11,1,12,11,0,0,2,0,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-099,2000,27,10,1161,12.9,8,0,8,7,1,1,0,0,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-140,1994,20,18,1610,17.9,0,0,0,0,0,0,1,0,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-344,1996,29,29,2512,27.9,1,0,1,1,0,0,8,0,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-185,2002,18,1,224,2.5,0,0,0,0,0,0,0,0,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-160,1999,27,10,1141,12.7,3,1,4,3,0,0,2,0,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-043,1990,32,20,1768,19.6,5,3,8,5,0,0,2,0,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-075,2000,22,20,1599,17.8,4,1,5,4,0,0,5,0,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-293,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-072,1993,5,2,309,3.4,0,0,0,0,0,0,0,0,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-293,1996,20,12,1155,12.8,2,0,2,2,0,0,2,0,328f7d51
28,Adam Armstrong,eng ENG,FWMF,Southampton,26-089,1997,28,14,1298,14.4,1,1,2,1,0,0,2,0,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-041,1992,29,13,1289,14.3,2,1,3,2,0,0,6,0,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-219,1994,26,26,2295,25.5,0,0,0,0,0,0,1,0,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-326,1989,15,5,554,6.2,1,0,1,1,0,0,1,0,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-019,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-137,1992,21,19,1673,18.6,1,0,1,1,0,0,2,0,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-271,1997,24,14,1158,12.9,6,1,7,6,0,0,1,0,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-216,2003,2,0,22,0.2,0,0,0,0,0,0,0,0,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-144,1989,12,1,314,3.5,0,0,0,0,0,1,1,0,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-241,1991,35,28,2444,27.2,4,2,6,4,0,0,5,0,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-258,1991,26,19,1784,19.8,1,1,2,1,0,0,3,0,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-255,1989,22,13,1257,14.0,0,0,0,0,0,0,3,0,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-045,2001,10,9,815,9.1,1,0,1,1,0,0,2,0,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-274,1997,30,23,1780,19.8,4,3,7,4,0,0,4,0,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-200,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-247,1993,26,16,1393,15.5,4,2,6,4,0,1,2,0,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-032,1998,20,4,575,6.4,0,1,1,0,0,0,3,1,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-152,1997,31,30,2533,28.1,12,1,13,12,0,0,3,0,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-079,2002,32,32,2880,32.0,0,0,0,0,0,0,0,0,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-123,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-028,1996,17,17,1402,15.6,0,0,0,0,0,0,4,0,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-028,1996,3,1,100,1.1,0,0,0,0,0,0,0,0,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-022,1997,7,2,167,1.9,0,0,0,0,0,0,0,0,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-324,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-150,2001,24,24,1879,20.9,0,2,2,0,0,0,4,0,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-273,1995,33,21,1976,22.0,6,3,9,2,4,4,0,0,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-319,1997,18,17,1500,16.7,5,2,7,5,0,0,8,0,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-145,2002,12,11,892,9.9,0,1,1,0,0,0,2,0,505486d6
