Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT_percentage,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-200,2000,25.6,1,40,9,22.5,1.56,0.35,0.03,0.11,18.5,2,0,0,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-301,1996,22.1,5,47,14,29.8,2.12,0.63,0.11,0.36,13.8,0,0,0,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-085,1999,24.0,0,4,0,0.0,0.17,0.00,0.00,,27.5,0,0,0,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-228,1997,20.2,1,12,4,33.3,0.60,0.20,0.08,0.25,19.8,1,0,0,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-041,1996,15.7,2,11,2,18.2,0.70,0.13,0.18,1.00,9.8,0,0,0,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-042,2002,1.0,0,3,0,0.0,2.90,0.00,0.00,,15.9,0,0,0,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-338,2001,11.5,1,10,5,50.0,0.87,0.44,0.10,0.20,14.1,0,0,0,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-023,1998,8.5,0,1,0,0.0,0.12,0.00,0.00,,6.0,0,0,0,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-295,1995,23.8,0,15,2,13.3,0.63,0.08,0.00,0.00,15.9,0,0,0,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-081,1995,20.1,1,9,2,22.2,0.45,0.10,0.11,0.50,10.5,0,0,0,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-173,1989,2.6,1,2,1,50.0,0.76,0.38,0.50,1.00,8.0,0,0,0,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-029,1991,13.9,0,10,1,10.0,0.72,0.07,0.00,0.00,24.1,0,0,0,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-161,2002,8.9,4,21,9,42.9,2.37,1.02,0.19,0.44,19.5,0,0,0,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-215,1998,29.5,1,35,6,17.1,1.19,0.20,0.03,0.17,23.9,4,0,0,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-220,1992,35.0,0,0,0,,0.00,0.00,,,,0,0,0,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-029,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-089,1994,23.9,11,54,17,31.5,2.26,0.71,0.20,0.65,16.6,0,0,0,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-099,2000,12.9,8,37,18,48.6,2.87,1.40,0.19,0.39,15.6,0,1,1,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-140,1994,17.9,0,6,2,33.3,0.34,0.11,0.00,0.00,17.4,0,0,0,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-344,1996,27.9,1,22,9,40.9,0.79,0.32,0.05,0.11,13.9,1,0,0,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-185,2002,2.5,0,8,3,37.5,3.21,1.21,0.00,0.00,13.1,0,0,0,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-160,1999,12.7,3,22,13,59.1,1.74,1.03,0.14,0.23,19.3,2,0,0,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-043,1990,19.6,5,37,12,32.4,1.88,0.61,0.14,0.42,11.2,0,0,0,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-075,2000,17.8,4,62,23,37.1,3.49,1.29,0.06,0.17,19.9,0,0,0,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-293,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-072,1993,3.4,0,0,0,,0.00,0.00,,,,0,0,0,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-293,1996,12.8,2,14,8,57.1,1.09,0.62,0.14,0.25,10.9,0,0,0,328f7d51
28,Adam Armstrong,eng ENG,FWMF,Southampton,26-089,1997,14.4,1,24,11,45.8,1.66,0.76,0.04,0.09,15.9,0,0,0,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-041,1992,14.3,2,23,6,26.1,1.61,0.42,0.09,0.33,17.9,0,0,0,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-219,1994,25.5,0,0,0,,0.00,0.00,,,,0,0,0,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-326,1989,6.2,1,16,7,43.8,2.60,1.14,0.06,0.14,13.7,0,0,0,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-019,1994,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,12.7,0,0,0,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-137,1992,18.6,1,8,3,37.5,0.43,0.16,0.13,0.33,14.7,0,0,0,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-271,1997,12.9,6,31,11,35.5,2.41,0.85,0.19,0.55,12.1,0,0,0,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-216,2003,0.2,0,1,0,0.0,4.09,0.00,0.00,,29.7,0,0,0,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-144,1989,3.5,0,3,1,33.3,0.86,0.29,0.00,0.00,19.3,0,0,1,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-241,1991,27.2,4,27,10,37.0,0.99,0.37,0.15,0.40,15.7,0,0,0,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-258,1991,19.8,1,20,4,20.0,1.01,0.20,0.05,0.25,15.8,0,0,0,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-255,1989,14.0,0,8,1,12.5,0.57,0.07,0.00,0.00,18.8,0,0,0,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-045,2001,9.1,1,6,2,33.3,0.66,0.22,0.17,0.50,7.2,0,0,0,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-274,1997,19.8,4,47,13,27.7,2.38,0.66,0.09,0.31,18.2,3,0,0,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-200,2004,5.8,1,6,3,50.0,1.03,0.51,0.17,0.33,24.5,0,0,0,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-247,1993,15.5,4,45,16,35.6,2.91,1.03,0.09,0.25,14.6,1,0,1,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-032,1998,6.4,0,4,1,25.0,0.63,0.16,0.00,0.00,15.9,0,0,0,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-152,1997,28.1,12,68,31,45.6,2.42,1.10,0.18,0.39,15.9,0,0,0,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-079,2002,32.0,0,0,0,,0.00,0.00,,,,0,0,0,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-123,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-028,1996,15.6,0,7,0,0.0,0.45,0.00,0.00,,15.1,0,0,0,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-028,1996,1.1,0,0,0,,0.00,0.00,,,,0,0,0,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-022,1997,1.9,0,2,0,0.0,1.08,0.00,0.00,,10.1,0,0,0,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-324,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-150,2001,20.9,0,14,2,14.3,0.67,0.10,0.00,0.00,16.1,0,0,0,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-273,1995,22.0,6,66,22,33.3,3.01,1.00,0.03,0.09,21.9,5,4,4,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-319,1997,16.7,5,15,9,60.0,0.90,0.54,0.33,0.56,15.8,0,0,0,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-145,2002,9.9,0,3,0,0.0,0.30,0.00,0.00,,18.9,0,0,0,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-196,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-040,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-333,1996,29.1,7,38,18,47.4,1.31,0.62,0.18,0.39,18.3,5,0,0,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-253,1996,9.0,0,5,0,0.0,0.55,0.00,0.00,,26.2,0,0,0,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-096,1991,6.7,0,1,0,0.0,0.15,0.00,0.00,,22.1,0,0,0,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-118,2000,30.7,0,21,7,33.3,0.68,0.23,0.00,0.00,10.3,0,0,0,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-141,1996,34.6,5,69,18,26.1,1.99,0.52,0.06,0.22,16.4,1,1,2,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-211,1997,2.2,0,0,0,,0.00,0.00,,,,0,0,0,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-242,2001,3.3,1,6,5,83.3,1.84,1.53,0.17,0.20,11.0,0,0,0,97220da2
65,David Brooks,wls WAL,FWDF,Bournemouth,25-306,1997,0.4,0,1,0,0.0,2.81,0.00,0.00,,16.4,0,0,0,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-185,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-088,2001,1.6,0,2,1,50.0,1.22,0.61,0.00,0.00,19.4,0,0,0,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-136,1996,25.5,5,46,10,21.7,1.80,0.39,0.11,0.50,15.7,1,0,0,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-234,2002,13.7,0,4,1,25.0,0.29,0.07,0.00,0.00,18.5,0,0,0,bfc3b3a0
70,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-138,2004,3.2,1,6,1,16.7,1.88,0.31,0.17,1.00,16.7,0,0,0,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,31-001,1992,31.4,0,15,3,20.0,0.48,0.10,0.00,0.00,11.0,0,0,0,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-073,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-189,2001,30.4,1,25,7,28.0,0.82,0.23,0.04,0.14,23.8,0,0,0,16264a81
