Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-200,2000,25.6,94,3.67,56,17,7,5,8,1,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-301,1996,22.1,57,2.57,44,1,2,5,5,0,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-085,1999,24.0,43,1.79,42,0,0,0,1,0,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-228,1997,20.2,17,0.84,14,0,0,3,0,0,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-041,1996,15.7,12,0.76,10,1,0,1,0,0,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-042,2002,1.0,2,1.94,1,0,0,1,0,0,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-338,2001,11.5,23,2.01,14,2,4,1,2,0,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-023,1998,8.5,4,0.47,4,0,0,0,0,0,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-295,1995,23.8,23,0.97,22,0,0,1,0,0,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-081,1995,20.1,22,1.09,18,1,0,2,0,1,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-173,1989,2.6,7,2.66,5,2,0,0,0,0,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-029,1991,13.9,41,2.94,33,0,3,1,1,3,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-161,2002,8.9,18,2.03,10,0,2,3,2,1,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-215,1998,29.5,109,3.70,70,31,2,5,1,0,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-220,1992,35.0,3,0.09,3,0,0,0,0,0,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-029,1996,0.4,0,0.00,0,0,0,0,0,0,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-089,1994,23.9,72,3.01,53,2,7,7,3,0,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-099,2000,12.9,43,3.34,32,0,5,4,2,0,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-140,1994,17.9,15,0.84,15,0,0,0,0,0,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-344,1996,27.9,18,0.64,15,2,0,0,1,0,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-185,2002,2.5,14,5.60,8,0,2,0,4,0,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-160,1999,12.7,37,2.92,27,3,4,1,1,1,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-043,1990,19.6,38,1.93,23,0,6,4,5,0,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-075,2000,17.8,65,3.66,54,0,4,3,3,1,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-293,2001,0.5,0,0.00,0,0,0,0,0,0,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-072,1993,3.4,0,0.00,0,0,0,0,0,0,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-293,1996,12.8,26,2.03,22,0,1,1,1,1,328f7d51
28,Adam Armstrong,eng ENG,FWMF,Southampton,26-089,1997,14.4,23,1.59,19,0,2,1,1,0,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-041,1992,14.3,48,3.35,38,0,0,6,4,0,97333cf5
