Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-200,2000,25.6,43,17,15,21,7,28,42,3,39,5,48,6,1,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-301,1996,22.1,17,13,7,8,2,5,13,4,9,4,21,22,0,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-085,1999,24.0,89,46,44,35,10,27,48,8,40,35,124,29,0,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-228,1997,20.2,22,9,16,5,1,6,16,13,3,22,44,129,1,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,27-041,1996,15.7,26,17,18,7,1,5,22,20,2,16,42,69,2,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-042,2002,1.0,3,2,3,0,0,2,2,0,2,0,3,0,0,a6c58494
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-338,2001,11.5,33,20,25,7,1,5,3,0,3,9,42,27,0,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,25-023,1998,8.5,11,8,5,4,2,7,6,5,1,7,18,22,0,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-295,1995,23.8,34,23,14,17,3,12,27,9,18,14,48,31,0,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-081,1995,20.1,25,11,14,9,2,4,18,9,9,19,44,43,0,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-173,1989,2.6,4,1,0,2,2,7,6,2,4,1,5,5,0,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,32-029,1991,13.9,43,24,20,21,2,9,15,3,12,21,64,13,2,77e84962
13,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-161,2002,8.9,6,4,0,5,1,10,12,4,8,1,7,9,0,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-215,1998,29.5,54,37,31,14,9,31,25,7,18,41,95,38,2,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-220,1992,35.0,0,0,0,0,0,3,3,0,3,0,0,15,0,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,27-029,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-089,1994,23.9,39,26,13,17,9,15,23,2,21,8,47,14,0,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-099,2000,12.9,23,14,2,11,10,16,13,0,13,1,24,6,0,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-140,1994,17.9,19,8,13,5,1,2,24,17,7,8,27,71,0,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-344,1996,27.9,36,17,25,11,0,14,26,13,13,21,57,178,0,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-185,2002,2.5,10,5,5,3,2,4,8,1,7,5,15,0,0,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-160,1999,12.7,29,17,14,9,6,15,25,1,24,9,38,17,0,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,33-043,1990,19.6,14,7,1,8,5,8,13,5,8,5,19,8,0,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-075,2000,17.8,22,9,9,9,4,14,16,0,16,11,33,4,0,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-293,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-072,1993,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-293,1996,12.8,30,19,14,12,4,8,13,1,12,8,38,10,0,328f7d51
28,Adam Armstrong,eng ENG,FWMF,Southampton,26-089,1997,14.4,14,9,6,5,3,7,15,3,12,4,18,6,0,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-041,1992,14.3,30,19,14,13,3,23,18,0,18,8,38,7,0,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-219,1994,25.5,2,2,2,0,0,1,0,0,0,1,3,16,2,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-326,1989,6.2,1,0,1,0,0,1,2,0,2,2,3,4,2,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-019,1994,0.9,1,1,1,0,0,0,0,0,0,0,1,1,0,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-137,1992,18.6,56,37,36,17,3,8,32,10,22,27,83,66,0,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-271,1997,12.9,14,9,2,9,3,4,16,4,12,3,17,18,0,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-216,2003,0.2,1,1,0,1,0,1,0,0,0,0,1,0,0,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-144,1989,3.5,5,3,0,4,1,2,6,1,5,0,5,7,0,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-241,1991,27.2,62,40,21,20,21,29,31,2,29,15,77,30,0,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-258,1991,19.8,58,30,40,10,8,37,30,9,21,23,81,46,2,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-255,1989,14.0,32,19,19,9,4,7,21,4,17,17,49,48,1,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-045,2001,9.1,13,7,9,4,0,5,3,2,1,15,28,31,1,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-274,1997,19.8,11,5,4,6,1,12,13,0,13,5,16,11,0,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-200,2004,5.8,9,6,5,3,1,19,7,0,7,9,18,4,0,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-247,1993,15.5,9,6,0,6,3,16,11,5,6,5,14,12,0,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-032,1998,6.4,14,9,6,6,2,9,9,1,8,7,21,9,0,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-152,1997,28.1,24,14,8,12,4,27,30,1,29,8,32,9,0,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-079,2002,32.0,1,0,1,0,0,0,0,0,0,1,2,24,2,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-123,1999,0.2,0,0,0,0,0,0,0,0,0,1,1,1,0,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-028,1996,15.6,23,17,16,7,0,3,32,23,9,44,67,63,0,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-028,1996,1.1,3,3,0,3,0,0,3,1,2,2,5,5,0,4115ce4e
